depart	name	number	units
Latin (LATIN)	Elementary Latin	1	4
Latin (LATIN)	Elementary Latin	2	4
Latin (LATIN)	Intensive Elementary Latin	10	8
Latin (LATIN)	The Latin Workshop	15	10
Latin (LATIN)	Intermediate Latin Prose Composition	40	4
Latin (LATIN)	Directed Group Study for Freshmen and Sophomores	98	1
Latin (LATIN)	Supervised Independent Study and Research	99	1
Latin (LATIN)	Republican Prose	100	4
Latin (LATIN)	Vergil	101	4
Latin (LATIN)	Lyric and Society	102	4
Latin (LATIN)	Roman Drama	115	4
Latin (LATIN)	Lucretius, Vergil's Georgics	116	4
Latin (LATIN)	Latin Epic	119	4
Latin (LATIN)	Latin Prose to AD 14	120	4
Latin (LATIN)	Tacitus	121	4
Latin (LATIN)	Post-Augustan Prose	122	4
Latin (LATIN)	Medieval Latin	140	4
Latin (LATIN)	Readings in Medieval Latin	155A	4
Latin (LATIN)	Honors Course in Latin	H195A	2
Latin (LATIN)	Honors Course in Latin	H195B	4
Latin (LATIN)	Directed Group Study for Advanced Undergraduates	198	1
Latin (LATIN)	Supervised Independent Study and Research	199	1
Punjabi (PUNJABI)	Introductory Punjabi	1A	5
Punjabi (PUNJABI)	Introductory Punjabi	1B	5
Punjabi (PUNJABI)	Intensive Elementary Punjabi	15	10
Punjabi (PUNJABI)	Intermediate Punjabi	100A	5
Punjabi (PUNJABI)	Intermediate Punjabi	100B	5
Dutch (DUTCH)	Elementary Dutch	1	5
Dutch (DUTCH)	Elementary Dutch	2	5
Dutch (DUTCH)	Cultural History of the Low Countries (Belgium, the Netherlands, Luxembourg)	39A	3
Dutch (DUTCH)	Dutch for Reading Knowledge	100	3
Dutch (DUTCH)	The Structure of Modern Dutch	107	3
Dutch (DUTCH)	Advanced Dutch	110	4
Dutch (DUTCH)	Conversation and Composition	125	4
Dutch (DUTCH)	Topics in Dutch Literature	140	3
Dutch (DUTCH)	The Indonesian Connection: Dutch Literature About the Indies in English Translation	C164	4
Dutch (DUTCH)	Anne Frank and After: Dutch Literature of the Holocaust in English Translation	166	4
Dutch (DUTCH)	Multiculturalism in the Netherlands	170	3
Dutch (DUTCH)	Dutch Culture and Society: Amsterdam and Berkeley in the Sixties	C170	4
Dutch (DUTCH)	From New Amsterdam to New York: Race, Culture, and Identity in New Netherland	171AC	4
Dutch (DUTCH)	Dutch Post-Colonial Studies	173	4
Dutch (DUTCH)	Brussels: A Global Study of a European Capital City	174	4
Dutch (DUTCH)	The Amsterdam-Brussels Connection: The Art, History, and Literature of the Netherlands and Flanders	177	6
Dutch (DUTCH)	Cultural Studies	C178	4
Dutch (DUTCH)	Cultural Studies	179	3
Dutch (DUTCH)	Senior Thesis	190	4
Dutch (DUTCH)	Honors Studies in Dutch	H196	1
Dutch (DUTCH)	Directed Group Study	198	1
Dutch (DUTCH)	Special Studies in Dutch	199	1
