Subject,Course Number,Course Title,Requirement
ART,133,Approaches to Sculpture: Meaning in Material,Arts and Literature
ART,137,Advanced Projects in Ceramic Sculpture,Arts and Literature
ART,138,Approaches to Sculpture: Installations,Arts and Literature
ART,141,Temporal Structures: Video and Performance Art,Arts and Literature
ART,142,New Genres,Arts and Literature
ART,160,Special Topics in Visual Studies,Arts and Literature
ART,163,Social Practice: The Artist in Body & Site,Arts and Literature
ART,164,Art and Meditation,Arts and Literature
ART,165,"Art, Medicine, and Disabilities",Arts and Literature
ART,171,Digital Video: The Architecture of Time,Arts and Literature
ART,172,CGI Animation Studies,Arts and Literature
ART,173,Sound Art,Arts and Literature
ART,174,Advanced Digital Video,Arts and Literature
ART,C174,Advanced Digital Video,Arts and Literature
ART,180,Advanced Digital Photography,Arts and Literature
ART,184,Junior Seminar: Meaning and Making,Arts and Literature
ASAMST,171,Asian Americans in Film and Video,Arts and Literature
ASAMST,172,Asian American Literature,Arts and Literature
ASAMST,173,Creative Writing,Arts and Literature
ASAMST,175,Contemporary Narratives on the Philippines and the United States,Arts and Literature
ASAMST,181,Chinese American Literature,Arts and Literature
ASAMST,183,Korean American Literature,Arts and Literature
BUDDSTD,C113,Buddhist Thought in India,Arts and Literature
BUDDSTD,C120,Buddhism on the Silk Road,Arts and Literature
BUDDSTD,C140,Readings in Chinese Buddhist Texts,Arts and Literature
BUDDSTD,C141,Introductory Readings in Japanese Buddhist Texts,Arts and Literature
BUDDSTD,150,The Origins and Development of Buddhist Art in South Asia,Arts and Literature
CELTIC,119A,Welsh and Arthurian Literature of the Middle Ages,Arts and Literature
CELTIC,125,Irish Literature in Translation,Arts and Literature
CELTIC,129,Aspects of Modern Celtic Cultures and Folklore,Arts and Literature
CELTIC,138,Irish Literature,Arts and Literature
CELTIC,139,Irish Literature,Arts and Literature
CELTIC,146A,Medieval Welsh Language and Literature,Arts and Literature
CELTIC,146B,Medieval Welsh Language and Literature,Arts and Literature
CELTIC,C168,Celtic Mythology and Oral Tradition,Arts and Literature
CELTIC,171,Celtic Romanticism,Arts and Literature
CHICANO,20,Introduction to Chicano Culture,Arts and Literature
CHICANO,40,Introduction to Chicano Literature in English,Arts and Literature
CHICANO,133,Chicano Music,Arts and Literature
CHICANO,135A,Latino Narrative Film: to the 1980s,Arts and Literature
CHICANO,135B,Latino Narrative Film Since 1990,Arts and Literature
CHICANO,135C,Latino Documentary Film,Arts and Literature
CHICANO,141,Chicana Feminist Writers and Discourse,Arts and Literature
CHICANO,142,Major Chicano Writers,Arts and Literature
CHICANO,143,Chicano and Latin American Literature,Arts and Literature
CHINESE,7A,Introduction to Premodern Chinese Literature and Culture,Arts and Literature
CHINESE,7B,Introduction to Modern Chinese Literature and Culture,Arts and Literature
CHINESE,101,Fourth-Year Chinese Readings: Literature,Arts and Literature
CHINESE,110A,Introduction to Literary Chinese,Arts and Literature
CHINESE,110B,Introduction to Literary Chinese,Arts and Literature
CHINESE,120,Ancient Chinese Prose,Arts and Literature
CHINESE,122,Ancient Chinese Poetry,Arts and Literature
CHINESE,130,Topics in Daoism,Arts and Literature
CHINESE,134,Readings in Classical Chinese Poetry,Arts and Literature
CHINESE,136,Readings in Medieval Prose,Arts and Literature
CHINESE,C140,Readings in Chinese Buddhist Texts,Arts and Literature
CHINESE,153,Reading Taiwan,Arts and Literature
CHINESE,159,Cities and the Country,Arts and Literature
CHINESE,172,Contemporary Chinese Language Cinema,Arts and Literature
CHINESE,176,Bad Emperors: Fantasies of Sovereignty and Transgression in the Chinese Tradition,Arts and Literature
CHINESE,178,Traditional Chinese Drama,Arts and Literature
CHINESE,179,Exploring Premodern Chinese Novels,Arts and Literature
CHINESE,C184,Sonic Culture in China,Arts and Literature
CHINESE,186,Confucius and His Interpreters,Arts and Literature
CHINESE,187,Literature and Media Culture in Taiwan,Arts and Literature
CHINESE,188,Popular Culture in 20th-Century China,Arts and Literature
CLASSIC,10A,Introduction to Greek Civilization,Arts and Literature
CLASSIC,10B,Introduction to Roman Civilization,Arts and Literature
CLASSIC,17A,Introduction to the Archaeology of the Greek World,Arts and Literature
CLASSIC,17B,Introduction to the Archaeology of the Late Greek and Roman World,Arts and Literature
CLASSIC,28,The Classic Myths,Arts and Literature
CLASSIC,N28,The Classic Myths,Arts and Literature
CLASSIC,34,Epic Poetry: Homer and Vergil,Arts and Literature
CLASSIC,35,Greek Tragedy,Arts and Literature
